artist_id,artist_name,artist_genre
54gWVQFHf8IIqbjxAoOarN,AOA,k-pop
2KC9Qb60EaY0kW4eH68vr3,ITZY,k-pop girl group
2AfmfGFbe0A0WsTYm0SDTx,(G)I-DLE,k-pop
5V1qsQHdXNm4ZEZHWvFnqQ,Dreamcatcher,k-pop
6IW91qUpcrhbGuZxubrG70,QUEENDOM,
7n2Ycct7Beij7Dj7meI4X0,TWICE,k-pop
3Nrfpe0tUJi4K4DXYWgMUX,BTS,k-pop
0Sadg1vgvaPqGTOjxu0N6c,Girls' Generation,k-pop
6HvZYsbFfjnjFrWF950C9d,NewJeans,k-pop
43pS0OMyfQBVqILYQJ8fpu,Dj Andrés,
3C13AlJZ4QWHSruAWe9VPI,CRAXY,
2vjeuQwzSP5ErC1S41gONX,CHANMINA,j-pop
5Z71xE9prhpHrqL5thVMyK,tripleS,k-pop
3ZZzT0naD25RhY2uZvIKkJ,EVERGLOW,k-pop
0ghlgldX5Dd6720Q3qFyQB,TOMORROW X TOGETHER,k-pop
4SpbR6yFEvexJuaBpgAU5p,LE SSERAFIM,
5GwQwY63I9hrUUFlQB8FYU,H1-KEY,
2TMRvcwsmvVhvuEbKVEbZe,YURI,korean r&b
3YUtIXyGE3p0Y4UPc3hyrf,AFTERSCHOOL RED,
7k73EtZwoPs516ZxE72KsO,ONE OK ROCK,j-pop
0UntV1Bw2hk3fbRrm9eMP6,B.I,k-pop
3OBkZ9NG8F0Fn4oNpg0yuU,HA SUNG WOON,k-pop
6GwM5CHqhWXzG3l5kzRSAS,Younha,k-pop
0FnDCrmcQT8qz5TEsZIYw5,Awich,j-rap
3699Hh55qWXd0kWWMWRR2o,mimiirose,
2uWcrwgWmZcQc3IPBs3tfU,Apink,k-pop
4hozqATxbpy9TwKWRT8QVO,Rocket Punch,k-pop
7rpKUJ0AnklJ8q9nIPVSpZ,Reol,anime rock
1EowJ1WwkMzkCkRomFhui7,RADWIMPS,j-pop
7IlRNXHjoOCgEAWN5qYksg,Aya Nakamura,basshall
3HqSLMAZ3g3d5poNaI7GOU,IU,k-pop
2lZFlNiQMLa2fuX3pkXcan,YOUHA,k-indie
