played_at_utc,played_date_utc,song_name,artist_name,song_duration_ms,song_link,album_art_link,album_name,album_release_date,album_id,artist_id
2022-12-21T16:45:10.873Z,2022-12-21,Answer is near,ONE OK ROCK,219826,https://open.spotify.com/track/3N29lMZHMKTVGXUN5aqzl5,https://i.scdn.co/image/ab67616d00001e021ccfaf5b5a356e8379a1e1e7,Zankyō Reference,2011-10-05,0cb55nHUbG3tLjVVQYPdRj,7k73EtZwoPs516ZxE72KsO
2022-12-21T16:40:17.878Z,2022-12-21,Into You,YURI,186531,https://open.spotify.com/track/6L8wVNs6kuQ7sRjHowbrLp,https://i.scdn.co/image/ab67616d00001e02fe9914fad928a7cbf93b5175,The First Scene - The 1st Mini Album,2018-10-04,1vRQP001rGl7zI3W6ghGSR,2TMRvcwsmvVhvuEbKVEbZe
2022-12-21T16:37:10.970Z,2022-12-21,第六感,Reol,191624,https://open.spotify.com/track/22sQUmLhT8umlEhQzDrzfJ,https://i.scdn.co/image/ab67616d00001e0253172aaf6f532e9e45cbb841,第六感,2020-07-27,6CTOnVKQhpsL1NeJQ3XyXF,7rpKUJ0AnklJ8q9nIPVSpZ
2022-12-21T16:33:58.540Z,2022-12-21,LUVORATORRRRRY!,Reol,204187,https://open.spotify.com/track/1AMzUKhF0vCFHZTx8H7OS4,https://i.scdn.co/image/ab67616d00001e024b3d52f255be4bab0f200cb2,エンドレスEP,2017-10-11,1G7u7llrqq988dLueDPV7J,7rpKUJ0AnklJ8q9nIPVSpZ
2022-12-21T16:30:33.497Z,2022-12-21,煽げや尊し,Reol,217106,https://open.spotify.com/track/2LeHTvjUmiR1A6L9txGDfm,https://i.scdn.co/image/ab67616d00001e026968e389f956d5f84ce66d85,煽げや尊し,2022-07-27,54Jl0Cvkj6wS8oJnLyCsVB,7rpKUJ0AnklJ8q9nIPVSpZ
2022-12-21T16:26:55.919Z,2022-12-21,Angel,CHANMINA,191566,https://open.spotify.com/track/4iShk7X3Q8vVIIiFENs9Yz,https://i.scdn.co/image/ab67616d00001e02b6274d484c9ea468882ada0d,Harenchi,2021-10-13,1q9RWaiqhyFz8tYrl57w98,2vjeuQwzSP5ErC1S41gONX
2022-12-21T16:23:44.435Z,2022-12-21,Blueming,IU,217053,https://open.spotify.com/track/4Dr2hJ3EnVh2Aaot6fRwDO,https://i.scdn.co/image/ab67616d00001e02b658276cd9884ef6fae69033,Love poem,2019-11-18,2xEH7SRzJq7LgA0fCtTlxH,3HqSLMAZ3g3d5poNaI7GOU
2022-12-21T16:20:06.729Z,2022-12-21,What,Dreamcatcher,205345,https://open.spotify.com/track/4BdpM8bR0nifsaqSz3qphQ,https://i.scdn.co/image/ab67616d00001e028c0b09a8965bb16ff3f7d889,Alone In The City,2018-09-20,68esmTNXocYLPEbLD1c7si,5V1qsQHdXNm4ZEZHWvFnqQ
2022-12-21T16:16:40.980Z,2022-12-21,Dilemma,Apink,209207,https://open.spotify.com/track/3j0x2BUUtm2obQXS1lZuN3,https://i.scdn.co/image/ab67616d00001e020582560196a977f50cc8411b,HORN,2022-02-14,6GeYzOIumBxJ4iF41J3KXM,2uWcrwgWmZcQc3IPBs3tfU
2022-12-21T15:10:42.288Z,2022-12-21,Stay with me,AOA,199800,https://open.spotify.com/track/3gesvtxiKvuXj63ZRdHUEY,https://i.scdn.co/image/ab67616d00001e027b05ff669e7218d1feb70c06,Ace of Angels,2015-10-14,4kyXI4CACtU6TzTyhTa4dL,54gWVQFHf8IIqbjxAoOarN
